тема,тип вопроса,условие,варианты ответа,ответ,класс
рынки,1,В результате роста стоимости стройматериалов повысятся цены только на жилье,"1) да, 2) нет",2),9
финансы,1,"Будущие выплаты по облигации являются фиксированными, и поэтому облигация –– безрисковый актив.","1) да, 2) нет",2),9
гос вмешательство,1,"Повышая ставку налога, государство может столкнуться со снижением суммы
 налоговых сборов.","1) да, 2) нет",1),9
другое,1,"Экономические исследования направлены только на изучение рынков товаров и услуг, денежного обращения и макроэкономической политики государства","1) да, 2) нет",2),9
анализ данных,1,"В развивающихся странах, получающих помощь от международной организации, рост ВВП за последний год составил в среднем 1 %. В развивающихся странах, не получающих такой помощи, рост ВВП составил в среднем 2 % за год. Значит, получение помощи отрицательно сказывается на росте ВВП.","1) да, 2) нет",2),9
издержки,2,"2.1. К постоянным издержкам типографии, связанным с производством тетрадей, следует отнести:","1) расходы на закупку используемой бумаги;
 2) расходы на отопление помещения типографии, зависящие от времени года;
 3) расходы на выплату сдельной заработной платы работникам типографии;
 4) расходы на выплату налога на добавленную стоимость.",2),9
гос вмешательство,2,"Каково оптимальное, с точки зрения экономической науки, вмешательство государства в рынок вакцин","1) государство не должно вмешиваться в свободное функционирование рынка
 вакцин;
 2) государство должно субсидировать потребление вакцин, так как вакцинация со провождается положительным внешним эффектом;
 3) государство должно обложить налогом потребление вакцин, так как вакцинация
 сопровождается отрицательным внешним эффектом;
 4) государство должно создать монополию на рынке вакцин.",2),9
рынки,2,"Известно, что предложение товара Х абсолютно неэластично по цене, а спрос
 описывается функцией Qd= 1000/P, где Q–– количество товара, P –– цена. Государство
 вводит на продавцов товара Х потоварный налог в размере 10 % от равновесной цены.
 В результате равновесная цена для потребителя:","1) повысится ровно на величину налога;
 2) повысится, но на величину меньшую, чем налог;
 3) повысится, но на величину большую, чем налог;
 4) не изменится.",4),9
рынки,2,"На валютном рынке спрос на иностранную валюту описывается уравнением 𝑄 = 120 − 𝑃, а предложение –– уравнением 𝑄 = 2𝑃, где 𝑃 –– валютный курс (цена иностранной валюты в единицах национальной), 𝑄 –– количество иностранной валюты. Если центральный банк хочет добиться валютного курса 𝑃 = 20, какое количество иностранной валюты он должен выпустить на рынок из своих резервов?",1) 60; 2) 80; 3) 1200; 4) 1600,1),9
ввп и инфляция,2,Каков был уровень инфляции в России в 2021 году? Выберите наиболее близкое значение.,1) 0 %; 2) 3 %; 3) 5 %; 4) 8 %,4),9
нобелевская премия,3,За достижения в какой области (областях) была присуждена Нобелевская премия по экономике (Премия Шведского государственного банка по экономическим наукам памяти Альфреда Нобеля) в 2021 году?,1) экономика труда; 2) методы анализа данных; 3) макроэкономика; 4) теория аукционов.,"1), 2)",9
потребительский выбор,3,"Девятиклассница Марфа получает от родителей фиксированную сумму на занятия в фитнес-клубе. Заполняя анкету в фитнес-клубе, она указала, что хочет заниматься плаванием и тренироваться в тренажерном зале, при этом каждые 2 часа занятий в бассейне она готова обменять на 3 часа занятий в тренажерном зале. Каждый час занятий в бассейне стоит 𝑝 д. е., а каждый час занятий в тренажерном зале стоит 1500 д. е., при этом время тренировки может варьировать (например, составлять 1,87 часа). При каком/каких из следующих значений 𝑝 Марфа потратит всю сумму, полученн",1) 900; 2) 1500; 3) 2000; 4) 2500.,"1), 2), 3)",9
заводы,3,"Нефтяная компания владеет двумя месторождениями. Чтобы получить q тыс. баррелей нефти на первом месторождении, нужно потратить TC1 (q) = 2qден. ед.; чтобы получить q тыс. баррелей нефти на втором месторождении, нужно потратитьTC2 (q) = q^2 ден. ед. Что из перечисленного верно о функции издержек TC(Q) компании, где Q–– суммарная добыча нефти?",1)TC(Q) = TC1(Q) + TC2(Q) для любогоQ>=0; 2)TC(Q) для любого Q >= 0 равно наименьшему из чисел TC1(Q) и TC2(Q); 3))TC(Q) <=2*(Q/2) + (Q/2)^2 для любогоQ>=0 ; 4) TC(3) <= 5.,"3), 4)",9
рынок труда,3,"Что из перечисленного является фактором, изменения которого могут привести к сдвигу кривой спроса фирмы на труд? Считайте, что все рынки совершенно конкурентные.","1) цена товара, производимого фирмой; 2) количество капитала;
 3) технология производства;
 4) минимальная зарплата,
 устанавливаемая государством.","1), 2), 3)",9
монополия,4,"Спрос на продукцию монополиста описывается уравнениемQd= 18 − P, общие издержки составляют TC(Q) = sqrt(Q). Фирма максимизирует выручку. Какова оптимальная для фирмы цена",---------,9,9
совершенная конкуренция,4,"Выпуск совершенно конкурентной фирмы может быть только целым числом. Период краткосрочный. Предельные издержки производства: 1) для каждой из первых 20 единиц равны 100; 2) для единиц с 21-й по 40-ю равны 50; 3) для любой единицы, начиная с 41-й, снова равны 100. При какой минимальной цене продукции фирма выберет ненулевой объем производства? (При безразличии между несколькими объемами фирма выбирает наибольший из них.)",---------,75,9
финансы,4,двух бескупонных облигаций 1 и 2 одинаковый номинал и годовая доходность –– 10% годовых. Облигация 1 со сроком погашения 1 год от настоящего момента стоит 1210 руб. Облигация 2 со сроком погашения t лет от настоящего момента стоит 1000 руб. Определите t.,---------,3,9
международная торговля,4,"Страна Альфа –– малая открытая экономика. Функция внутреннего спроса на рынке пармезана в стране Альфа описывается уравнением Q= 80−P. Функция внутреннего предложения линейна, причем ее график выходит из начала координат и не совпадает с осью Q. Изначально мировая цена пармезана равна 40. После того, как она выросла до 60, количество пармезана, пересекающее границу страны Альфа, не изменилось. Найдите это количество",---------,16,9
гос вмешательство,1,Коэффициент эластичности суммы налоговых сборов по ставке налога может быть отрицательным.,"1) да, 2) нет",1),10
рынки,1,В результате роста стоимости стройматериалов повысятся цены только на жилье,"1) да, 2) нет",2),10
финансы,1,"Будущие выплаты по облигации являются фиксированными, и поэтому облигация –– безрисковый актив.","1) да, 2) нет",2),10
другое,1,"Экономические исследования направлены только на изучение рынков товаров и услуг, денежного обращения и макроэкономической политики государства","1) да, 2) нет",2),10
анализ данных,1,"В развивающихся странах, получающих помощь от международной организации, рост ВВП за последний год составил в среднем 1 %. В развивающихся странах, не получающих такой помощи, рост ВВП составил в среднем 2 % за год. Значит, получение помощи отрицательно сказывается на росте ВВП.","1) да, 2) нет",2),10
ввп и инфляция,2,"Если номинальный ВВП за 10 лет вырос вдвое, покупательная способность денег упала на 40 %, а население страны выросло на 1/9 от своей первоначальной величины, то за 10 лет реальный ВВП на душу населения вырос:",1) на 8 %; 2) на 20 %; 3) на 25 %; 4) на 80 %.,1),10
гос вмешательство,2,"Каково оптимальное, с точки зрения экономической науки, вмешательство государства в рынок вакцин","1) государство не должно вмешиваться в свободное функционирование рынка
 вакцин;
 2) государство должно субсидировать потребление вакцин, так как вакцинация со провождается положительным внешним эффектом;
 3) государство должно обложить налогом потребление вакцин, так как вакцинация
 сопровождается отрицательным внешним эффектом;
 4) государство должно создать монополию на рынке вакцин.",2),10
рынки,2,"На валютном рынке спрос на иностранную валюту описывается уравнением 𝑄 = 120 − 𝑃, а предложение –– уравнением 𝑄 = 2𝑃, где 𝑃 –– валютный курс (цена иностранной валюты в единицах национальной), 𝑄 –– количество иностранной валюты. Если центральный банк хочет добиться валютного курса 𝑃 = 20, какое количество иностранной валюты он должен выпустить на рынок из своих резервов?",1) 60; 2) 80; 3) 1200; 4) 1600,1),10
ввп и инфляция,2,Каков был уровень инфляции в России в 2021 году? Выберите наиболее близкое значение.,1) 0 %; 2) 3 %; 3) 5 %; 4) 8 %,4),10
нобелевская премия,3,За достижения в какой области (областях) была присуждена Нобелевская премия по экономике (Премия Шведского государственного банка по экономическим наукам памяти Альфреда Нобеля) в 2021 году?,1) экономика труда; 2) методы анализа данных; 3) макроэкономика; 4) теория аукционов.,"1), 2)",10
потребительский выбор,3,"Десятиклассница Марфа получает от родителей фиксированную сумму на занятия в фитнес-клубе. Заполняя анкету в фитнес-клубе, она указала, что хочет заниматься плаванием и тренироваться в тренажерном зале, при этом каждые 2 часа занятий в бассейне она готова обменять на 3 часа занятий в тренажерном зале. Каждый час занятий в бассейне стоит 𝑝 д. е., а каждый час занятий в тренажерном зале стоит 1500 д. е., при этом время тренировки может варьировать (например, составлять 1,87 часа). При каком/каких из следующих значений 𝑝 Марфа потратит всю сумму, полученн",1) 900; 2) 1500; 3) 2000; 4) 2500.,"1), 2), 3)",10
заводы,3,"Нефтяная компания владеет двумя месторождениями. Чтобы получить q тыс. баррелей нефти на первом месторождении, нужно потратить TC1 (q) = q^5 ден. ед.; чтобы получить q тыс. баррелей нефти на втором месторождении, нужно потратитьTC2 (q) = q^2 ден. ед. Что из перечисленного верно о функции издержек TC(Q) компании, где Q–– суммарная добыча нефти?",1)TC(Q) = TC1(Q) + TC2(Q) для любогоQ>=0; 2)TC(Q) для любого Q >= 0 равно наименьшему из чисел TC1(Q) и TC2(Q); 3))TC(Q) <=(Q/2)^2 + (Q/2)^5 для любогоQ>=0 ; 4) TC(3) <= 5.,"3), 4)",10
неравенство,3,В странах A и B 10 лет назад коэффициенты Джини были строго больше нуля. В стране А за последние 10 лет доход каждого жителя увеличился на 10 %. В стране B за последние 10 лет доход каждого жителя увеличился на 10 ден. ед. Тогда за последние 10 лет:,"1) коэффициент Джини в стране А не изменился;
 2) коэффициент Джини в стране B не изменился;
 3) коэффициент Джини в стране A увеличился;
 4) коэффициент Джини в стране B уменьшился.","1), 4)",10
рынок труда,4,"Цена на продукцию совершенно конкурентной фирмы равна 2, а функция среднего продукта труда имеет при L >= 1 вид APl (L) = 20−L, где L–– количество работников (только целое число, не большее 20). Определите предельный продукт труда третьего работника в денежном выражении",---------,30,10
совершенная конкуренция,4,"Выпуск совершенно конкурентной фирмы может быть только целым числом. Период краткосрочный. Предельные издержки производства: 1) для каждой из первых 20 единиц равны 100; 2) для единиц с 21-й по 40-ю равны 50; 3) для любой единицы, начиная с 41-й, снова равны 100. При какой минимальной цене продукции фирма выберет ненулевой объем производства? (При безразличии между несколькими объемами фирма выбирает наибольший из них.)",---------,75,10
финансы,4,"Облигация со сроком погашения через два года от настоящего момента принесет
 купонный доход в размере 10 % от номинала в конце каждого из двух годов. Сейчас облигация стоит 12200 руб. Определите цену облигации (в рублях) сразу после выпла ты первого купона, если ставка дисконтирования равна 20 %",---------,13200,10
